0,324,167,466,411
1,-1,-1,-1,-1
6,-1,-1,-1,-1
11,-1,-1,-1,-1
16,-1,-1,-1,-1
20,-1,-1,-1,-1
24,309,405,456,168
28,-1,-1,-1,-1
33,308,407,449,167
38,-1,-1,-1,-1
43,309,406,446,166
49,-1,-1,-1,-1
54,-1,-1,-1,-1
61,304,404,439,168
65,-1,-1,-1,-1
69,-1,-1,-1,-1
76,-1,-1,-1,-1
81,-1,-1,-1,-1
88,258,406,417,168
94,-1,-1,-1,-1
100,242,406,400,170
105,-1,-1,-1,-1
109,241,407,379,169
112,243,406,366,168
118,240,407,353,168
122,241,407,351,169
127,-1,-1,-1,-1
131,241,406,331,170
137,237,407,330,171
143,223,407,330,172
152,219,409,321,177
155,214,407,318,177
161,212,407,316,178
167,205,403,317,182
173,196,406,313,182
178,-1,-1,-1,-1
182,190,406,316,182
194,319,406,194,180
201,319,406,195,180
210,318,404,200,180
213,319,404,199,176
219,318,404,198,172
222,317,404,201,173
225,319,404,203,172
230,-1,-1,-1,-1
237,317,402,208,172
243,318,404,207,172
252,-1,-1,-1,-1
258,317,404,208,166
265,-1,-1,-1,-1
270,316,405,206,168
280,315,405,202,167
286,315,404,203,165
292,-1,-1,-1,-1
295,315,405,198,164
304,315,405,202,168
310,316,404,196,166
319,315,403,194,164
327,315,404,187,164
334,313,403,186,168
340,-1,-1,-1,-1
345,-1,-1,-1,-1
349,311,402,185,167
355,311,405,184,164
360,-1,-1,-1,-1
368,314,403,191,162
377,312,404,199,166
373,-1,-1,-1,-1
383,316,404,199,165
390,-1,-1,-1,-1
395,312,405,201,167
401,-1,-1,-1,-1
407,312,401,200,168
416,312,404,200,169
425,311,404,202,165
435,312,406,197,165
445,311,404,195,165
455,312,403,194,169
465,311,404,195,166
475,311,402,195,166
485,310,405,194,164
495,311,403,194,166
505,312,403,193,168
515,311,404,194,169
525,309,402,192,169
535,312,406,194,169
545,311,402,193,168
555,308,404,191,168
565,310,404,192,166
574,308,403,191,167
580,301,403,192,168
583,294,405,191,168
588,293,406,195,168
594,304,404,190,166
600,304,405,190,169
607,295,171,191,409
612,292,172,189,410
616,-1,-1,-1,-1
620,-1,-1,-1,-1
624,289,174,186,407
630,-1,-1,-1,-1
636,280,173,176,411
640,-1,-1,-1,-1
647,173,411,270,164
653,166,412,264,166
659,-1,-1,-1,-1
665,149,410,257,167
681,254,408,144,167
693,251,410,139,166
696,250,407,137,168
708,245,408,131,169
711,241,406,128,167
720,232,408,124,169
729,226,408,120,170
735,225,410,114,170
741,227,413,103,171
750,227,410,94,168
757,230,408,85,165
763,233,411,77,162
772,231,412,72,165
778,-1,-1,-1,-1
787,231,411,62,164
793,233,409,63,163
799,-1,-1,-1,-1
802,234,411,56,163
811,232,413,56,162
820,231,411,54,165
829,233,411,55,164
836,232,406,58,165
845,219,408,70,159
851,225,411,69,166
860,220,411,77,163
866,81,415,216,163
875,81,415,211,162
880,69,407,196,162
884,76,410,194,159
888,77,407,191,163
892,74,409,201,160
897,198,410,69,162
900,195,411,70,168
906,191,409,71,167
909,180,410,70,163
914,177,409,71,158
918,179,407,66,163
924,170,408,63,163
929,160,406,61,166
933,159,408,56,171
941,160,408,51,176
948,157,406,46,184
956,158,410,43,184
960,159,409,37,183
967,161,407,31,186
974,-1,-1,-1,-1
978,159,408,27,186
983,159,409,26,183
991,159,406,30,180
995,160,408,32,170
999,160,408,30,172
1003,159,408,38,168
1005,159,409,39,169
1011,-1,-1,-1,-1
1017,157,407,35,163
1021,157,407,35,163
1026,-1,-1,-1,-1
1032,156,406,29,163
1038,157,411,28,163
1042,156,406,26,167
1050,152,406,27,167
1056,153,406,28,167
1063,156,408,27,163
1072,156,406,30,165
1080,156,410,25,164
1086,159,408,26,163
1092,158,407,24,163
1100,159,411,24,164
1108,157,409,21,163
1114,158,411,24,161
1122,159,407,22,166
1130,153,409,22,169
1138,157,410,22,161
1144,156,408,26,166
1153,156,409,29,163
1167,156,409,33,166
1173,156,410,34,168
1180,158,406,35,167
1187,156,407,33,165
1194,155,406,35,163
1198,158,407,35,166
1204,154,409,36,161
1210,156,409,35,166
1213,156,408,38,168
1217,155,410,37,163
1221,155,407,42,163
1224,153,408,41,168
1227,155,410,44,165
1232,159,411,48,166
1237,157,411,47,163
1243,158,411,48,162
1244,159,408,49,161
1249,159,406,48,164
1252,157,411,48,163
1260,154,410,46,164
1268,156,407,46,163
1274,156,411,43,159
1280,159,410,42,160
1285,156,409,50,162
1293,156,407,50,159
1298,155,409,50,165
1304,156,406,48,160
1310,156,408,51,162
1318,155,411,50,162
1324,155,410,53,158
1331,155,407,48,158
1337,156,411,51,159
1346,156,411,51,163
